# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2017;;;;;;;;;;;;;;;;
# Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 19. Deutschen Bundestag;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 28.02.2017;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5952;144;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Meyn;00;;;24980;
001;Flensburg – Schleswig;01;0;59;5937;145;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Munkbrarup;00;;;24960;
001;Flensburg – Schleswig;01;0;59;5990;147;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Nieby;00;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;148;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Niesgrau;00;;;24395;
001;Flensburg – Schleswig;01;0;59;5952;149;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Nordhackstedt;00;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;151;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Osterby;00;;;24994;
001;Flensburg – Schleswig;01;0;59;5990;152;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Pommerby;00;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;154;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Rabel;00;;;24376;
001;Flensburg – Schleswig;01;0;59;5990;155;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Rabenholz;00;;;24395;
001;Flensburg – Schleswig;01;0;59;5937;157;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Ringsberg;00;;;24977;
001;Flensburg – Schleswig;01;0;59;5952;158;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Schafflund;00;;;24980;
001;Flensburg – Schleswig;01;0;59;5940;159;Schleswig-Holstein;;Schleswig-Flensburg;Oeversee;Sieverstedt;00;;;24885;
001;Flensburg – Schleswig;01;0;59;5949;161;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Sörup;00;;;24966;
001;Flensburg – Schleswig;01;0;59;5912;162;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Sollerup;00;;;24852;*****
001;Flensburg – Schleswig;01;0;59;5990;163;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Stangheck;00;;;24395;
