# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2020;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 20. Deutschen Bundestag (gemäß 24. Gesetz zur Änderung des Bundeswahlgesetzes vom 25.06.2020);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 15.04.2020;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5974;083;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Süderbrarup;;;;24392;
001;Flensburg – Schleswig;01;0;59;5987;084;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Süderfahrenstedt;;;;24890;
001;Flensburg – Schleswig;01;0;59;5987;086;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Taarstedt;;;;24893;
001;Flensburg – Schleswig;01;0;59;5996;087;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Tetenhusen;;;;24817;*****
001;Flensburg – Schleswig;01;0;59;5996;088;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Tielen;;;;24803;
001;Flensburg – Schleswig;01;0;59;5987;090;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Tolk;;;;24894;
001;Flensburg – Schleswig;01;0;59;5993;092;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Treia;;;;24896;
001;Flensburg – Schleswig;01;0;59;5987;093;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Uelsby;;;;24860;*****
001;Flensburg – Schleswig;01;0;59;5974;094;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Ulsnis;;;;24897;*****
001;Flensburg – Schleswig;01;0;59;5974;095;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Wagersrott;;;;24392;
